위치,일자,현재발전출력,계절,평균기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),가조시간(hr),합계 일조시간(hr),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),수평일사량,경사일사량,외기온도,위치코드
당진,2017-01-01,295.8858410485789,겨울,3.5,0.0,0.0,0.0,9.7,4.0,7.1,5.8,5.3,112.80097160717592,346.54458637110986,5.379402866926146,1
당진,2017-01-02,223.70475094100635,겨울,5.3,1.67,0.0,0.4,9.7,4.6,7.4,6.6,7.0,120.5368591984682,168.8655180903749,12.61009138157661,1
당진,2017-01-03,327.26482639341253,겨울,1.5,0.0,0.0,0.0,9.7,8.6,0.1,0.1,4.4,267.1644743997716,140.93258613809434,8.484163641329076,1
당진,2017-01-04,259.9208466627003,겨울,3.5,0.0,0.0,0.0,9.7,7.3,4.5,3.0,4.6,286.52914590132866,415.3153068740996,10.828580749745509,1
당진,2017-01-05,28.00633385869211,겨울,4.4,0.0,0.0,0.0,9.8,0.0,8.5,2.6,5.2,139.1745502417701,344.6037842024913,9.968148087898694,1
당진,2017-01-06,177.23916894258727,겨울,5.4,0.0,0.0,0.0,9.8,2.0,4.5,3.9,7.2,302.09411992614093,419.16048693276855,10.282583503634164,1
당진,2017-01-07,71.35041948207773,겨울,4.0,0.0,0.0,0.0,9.8,5.1,6.4,3.3,5.2,361.55931343143607,175.73320545079036,12.68940156638878,1
당진,2017-01-08,73.96043217631883,겨울,6.6,0.58,0.0,0.0,9.8,0.7,9.0,8.0,7.8,317.2952471127374,367.1061104384356,7.83260210392528,1
당진,2017-01-09,307.4210780275657,겨울,2.5,0.0,0.0,0.0,9.8,7.2,3.4,3.4,6.6,187.09429160146288,285.5208238412397,7.233764620055533,1
당진,2017-01-10,83.27846133853329,겨울,-0.7,0.67,0.0,0.1,9.8,5.9,3.5,3.5,2.5,429.7989060508641,304.2679406564294,6.491025801088591,1
당진,2017-01-11,392.98871733185183,겨울,-3.4,2.08,0.0,0.0,9.8,6.1,3.3,2.9,0.5,238.75584149058687,254.22632323676876,13.485338537920471,1
당진,2017-01-12,90.66011741439554,겨울,-0.4,1.58,0.0,1.1,9.9,3.5,3.5,3.3,1.6,246.3868243331603,43.46037725670466,9.233237319096352,1
당진,2017-01-13,106.56515848518828,겨울,-4.1,5.25,0.0,1.3,9.9,3.8,7.0,7.0,0.8,100.69734786406576,445.617143728579,10.047429423397164,1
당진,2017-01-14,144.60573680924054,겨울,-5.4,0.67,0.0,0.0,9.9,9.0,2.3,2.3,0.1,249.2979090681343,45.10807866498429,14.302579933652876,1
당진,2017-01-15,87.79503016971299,겨울,-5.9,0.0,0.0,0.0,9.9,9.2,0.0,0.0,-0.8,246.3900502249236,240.58658672614595,5.610063776852427,1
당진,2017-01-16,360.9271408229249,겨울,-4.7,0.0,0.0,0.0,9.9,9.1,0.1,0.0,-0.8,377.78402591204826,239.38353891411285,9.400534394719106,1
당진,2017-01-17,291.52116521639203,겨울,-2.8,0.0,0.0,0.0,10.0,2.7,6.0,3.1,0.2,253.3055695142858,361.5159557923908,3.514174315635267,1
당진,2017-01-18,51.1978387043269,겨울,-0.9,1.0,0.0,0.0,10.0,3.1,7.4,6.1,2.0,404.49503070830144,8.72878001010584,4.413540111957431,1
당진,2017-01-19,119.191069608281,겨울,-1.9,0.0,0.0,0.0,10.0,8.3,4.3,2.6,1.0,139.42171338334092,300.6343897094357,10.710296944556436,1
당진,2017-01-20,178.65494539902093,겨울,-4.0,6.92,0.0,7.0,10.0,3.8,5.6,5.4,2.3,188.08985650918552,191.0672108295873,13.595845050017036,1
당진,2017-01-21,77.50991607991547,겨울,-2.9,10.17,0.0,2.4,10.1,3.5,8.6,8.0,2.0,450.0931557901953,160.91224390304038,3.3855432717942406,1
당진,2017-01-22,127.73186509679432,겨울,-4.7,6.83,0.0,0.1,10.1,4.1,8.0,7.8,2.4,313.7753843197057,195.6708491459353,6.416888391301584,1
